trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-34.18679481827409,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-130.17748530921102,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-45.71488884524227,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-19.898541723931515,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-29.744677948137237,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,2,-68.15709863868318,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-113.13724371320389,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,-83.1949327170674,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,5.522262788234938,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-35.320547071618265,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,4.141684442499147,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,5.513295333856681,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-3.190220391760863,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-126.55696680233258,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,6.884498633868841,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-36.44781056885162,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,-23.407390171014246,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,23.095838079537117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,29.018593515757967,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,1.6705264490469278,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,11,17.719278296371595,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",35,4,27.17056636456374,"{0: 30, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-49.77808512359774,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,4,3.125371461494456,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,23.651011594924235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,25.462078264856693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-17.690596980864257,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,9,2.081248674055317,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,25.82967455967495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,18.073227113947937,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
