trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",25,5,-139.29887518875597,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",1
2,False,"{'a': 0.02, 'e': 0.9930924954370359}",20,0,-69.75567313071605,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.02, 'e': 0.9822419709752424}",25,0,-192.64625274137347,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.02, 'e': 0.9687191555018009}",25,0,-77.87132931529099,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9532530149597334}",25,0,-54.13974859150268,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.02, 'e': 0.9363251202521405}",25,0,-96.78885643800763,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.9182812032819455}",30,0,-80.19792198634153,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8993832493868843}",20,0,-38.389131979523476,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.02, 'e': 0.8798373001463144}",30,0,-258.2560101985394,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
10,False,"{'a': 0.02, 'e': 0.8598097580882478}",25,0,-122.59346227459362,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.02, 'e': 0.8394376476185424}",25,0,-54.726905852193674,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.8188354386260791}",30,0,-171.57458235005066,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.02, 'e': 0.7980997905537981}",20,12,-16.90762447486228,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.02, 'e': 0.7773129739592826}",25,10,-4.4342812318394165,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.02, 'e': 0.7565454155071138}",20,0,-38.912129907443166,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.02, 'e': 0.7358576413350775}",30,0,-90.07448599014168,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.02, 'e': 0.7153017949520593}",20,14,-39.625863587501534,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
