trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-94.6895223848072,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-150.85119855251475,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-215.80096565870969,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-126.01030948657096,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-169.23330857801466,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-101.88482129904716,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-50.000550312594605,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-84.11683514726188,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-140.23027838529862,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-141.8411182786636,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,4,-105.84049596880969,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-193.6384073900756,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-128.86398500975153,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-111.83972208810556,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-251.80274663077415,"{0: 19, 1: 2, 2: 8, 3: 3, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-45.57685115240983,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-37.1786035008475,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-68.30738918924935,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-76.02271569888069,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-133.217806931393,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-101.45194327722761,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.34490986155529,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-208.02097954656028,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,9,-20.844503064898415,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-104.13202974096667,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,18,-9.358521314122921,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-42.743701295134315,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,12,-37.25375869735213,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-71.08194815356794,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-117.36882764866036,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
